Название облигации;ISIN;Дата размещения;Дата погашения;Ставка купона;Рейтинг;Цвет рейтинга;Ссылка
ДОМ.РФ Ипотечный агент-БО-001P-29;RU000A105NN9;2022-12-22;2032-11-28;9.2%;AAA;Зеленый;https://bonds.finam.ru/issue/details034E3/default.asp
ДОМ.РФ Ипотечный агент-БО-001P-26;RU000A105JF3;2022-11-30;2032-11-28;7.97%;AAA;Зеленый;https://bonds.finam.ru/issue/details0349D/default.asp
СФО ВТБ РКС Эталон-01;RU000A105G99;2022-11-21;2030-04-02;11.0%;AAA;Зеленый;https://bonds.finam.ru/issue/details03467/default.asp
ДОМ.РФ Ипотечный агент-БО-001P-22;RU000A1058R2;2022-09-29;2032-09-28;8.6%;AAA;Зеленый;https://bonds.finam.ru/issue/details033B2/default.asp
ВЭБ.РФ-ПБО-001Р-32;RU000A104Z63;2022-07-22;2028-01-14;10.2%;AAA;Зеленый;https://bonds.finam.ru/issue/details032C7/default.asp
ВЭБ.РФ-ПБО-002Р-33;RU000A104Z48;2022-07-21;2027-07-15;10.2%;AAA;Зеленый;https://bonds.finam.ru/issue/details032B7/default.asp
ДОМ.РФ Ипотечный агент-БО-001P-19;RU000A104X32;2022-07-01;2032-06-28;10.15%;AAA;Зеленый;https://bonds.finam.ru/issue/details032AC/default.asp
ДОМ.РФ Ипотечный агент-БО-001P-18;RU000A104UV0;2022-06-03;2032-05-28;11.4%;AAA;Зеленый;https://bonds.finam.ru/issue/details0327A/default.asp
РЖД-001P-25R;RU000A104SY8;2022-05-06;2027-04-30;11.87%;AAA;Зеленый;https://bonds.finam.ru/issue/details0325C/default.asp
РЖД-001P-24R;RU000A104SX0;2022-05-06;2027-04-30;11.87%;AAA;Зеленый;https://bonds.finam.ru/issue/details0325B/default.asp
ДОМ.РФ Ипотечный агент-БО-001P-13;RU000A1041Q0;2021-11-17;2031-10-28;8.15%;AAA;Зеленый;https://bonds.finam.ru/issue/details030AF/default.asp
РЖД-001P-18R;RU000A101H84;2020-03-04;2030-02-20;6.44%;AAA;Зеленый;https://bonds.finam.ru/issue/details028B4/default.asp
РЖД-001P-09R;RU000A0ZZRY2;2018-11-02;2033-10-14;8.0%;AAA;Зеленый;https://bonds.finam.ru/issue/details02326/default.asp
РЖД-001P-08R;RU000A0ZZGT5;2018-08-16;2028-08-03;7.99%;AAA;Зеленый;https://bonds.finam.ru/issue/details022A0/default.asp
ГПБ Финанс-001Р-03Р;RU000A10BG62;2025-04-23;2028-04-07;17.5%;AA+;Зеленый;https://bonds.finam.ru/issue/details040B2/default.asp
СФО ГПБ-СПК-А1;RU000A10AXZ7;2025-03-28;2034-03-26;21.5%;AA+;Зеленый;https://bonds.finam.ru/issue/details03EFB/default.asp
Газпромбанк-005Р-12Р;RU000A108VL0;2024-07-01;2028-02-01;16.5%;AA+;Зеленый;https://bonds.finam.ru/issue/details03C31/default.asp
Россети Московский регион-001Р-06;RU000A108P61;2024-06-14;2027-05-30;17.15%;AA+;Зеленый;https://bonds.finam.ru/issue/details03BEE/default.asp
Газпромбанк-005Р-02Р;RU000A107F49;2023-12-20;2027-06-20;16.0%;AA+;Зеленый;https://bonds.finam.ru/issue/details03A27/default.asp
ФПК-001P-05;RU000A0ZZTL5;2018-11-15;2028-11-02;8.4%;AA+;Зеленый;https://bonds.finam.ru/issue/details02369/default.asp
СФО СОВКОМ СЕКЬЮР-А;RU000A10AST0;2025-02-24;2030-12-31;23.0%;AA;Зеленый;https://bonds.finam.ru/issue/details03E91/default.asp
Европлан-001Р-09;RU000A10ASC6;2025-01-31;2028-07-14;24.0%;AA;Зеленый;https://bonds.finam.ru/issue/details03F23/default.asp
Авто Финанс Банк-БО-001Р-13;RU000A109KY4;2024-09-20;2027-09-17;21.3%;AA;Зеленый;https://bonds.finam.ru/issue/details03D0A/default.asp
НоваБев Групп-БО-П07;RU000A1099A2;2024-08-20;2027-08-05;19.4%;AA;Зеленый;https://bonds.finam.ru/issue/details03CB9/default.asp
Авто Финанс Банк-БО-001Р-12;RU000A108RP9;2024-06-21;2027-06-18;18.2%;AA;Зеленый;https://bonds.finam.ru/issue/details03BEC/default.asp
Группа Черкизово-БО-001Р-06;RU000A105M67;2022-12-15;2027-12-09;11.3%;AA;Зеленый;https://bonds.finam.ru/issue/details034CC/default.asp
НоваБев Групп-БО-П05;RU000A104Y15;2022-07-12;2027-07-06;10.85%;AA;Зеленый;https://bonds.finam.ru/issue/details03290/default.asp
Автодор-БО-003Р-02;RU000A104XR2;2022-07-07;2027-07-01;10.65%;AA;Зеленый;https://bonds.finam.ru/issue/details032A8/default.asp
Автодор-БО-002Р-01;RU000A100030;2018-12-27;2030-12-12;8.5%;AA;Зеленый;https://bonds.finam.ru/issue/details023DE/default.asp
ХК Новотранс-001Р-06;RU000A10BBE6;2025-04-11;2028-09-22;18.75%;AA-;Зеленый;https://bonds.finam.ru/issue/details0404C/default.asp
СФО ТБ-3-А;RU000A10B7T7;2025-04-02;2030-03-26;25.0%;AA-;Зеленый;https://bonds.finam.ru/issue/details04046/default.asp
Балтийский лизинг-БО-П15;RU000A10ATW2;2025-02-28;2028-02-13;23.7%;AA-;Зеленый;https://bonds.finam.ru/issue/details03F76/default.asp
Росагролизинг-002Р-01;RU000A108KT6;2024-05-31;2029-07-04;17.71%;AA-;Зеленый;https://bonds.finam.ru/issue/details03BC3/default.asp
Росагролизинг-001P-05;RU000A108447;2024-03-29;2029-05-02;17.46%;AA-;Зеленый;https://bonds.finam.ru/issue/details03A0F/default.asp
ВымпелКом-003Р-02;RU000A106TS3;2023-09-01;2028-02-14;10.55%;AA-;Зеленый;https://bonds.finam.ru/issue/details03872/default.asp
Восточная Стивидорная Компания-001Р-04R;RU000A106P06;2023-08-04;2028-07-28;12.0%;AA-;Зеленый;https://bonds.finam.ru/issue/details037E6/default.asp
ВымпелКом-001Р-09;RU000A105YV9;2023-03-17;2028-03-20;10.55%;AA-;Зеленый;https://bonds.finam.ru/issue/details03610/default.asp
ВымпелКом-001Р-06;RU000A105TY3;2023-02-10;2028-02-14;10.55%;AA-;Зеленый;https://bonds.finam.ru/issue/details03558/default.asp
Восточная Стивидорная Компания-001Р-03R;RU000A105KR6;2022-12-06;2027-11-30;11.25%;AA-;Зеленый;https://bonds.finam.ru/issue/details03490/default.asp
ХК Новотранс-001Р-03;RU000A105CM4;2022-11-01;2027-10-26;11.7%;AA-;Зеленый;https://bonds.finam.ru/issue/details03380/default.asp
КАМАЗ-БО-11;RU000A0ZZ893;2018-05-29;2033-05-10;8.2%;AA-;Зеленый;https://bonds.finam.ru/issue/details019BB/default.asp
КАМАЗ-БО-10;RU000A0ZZ877;2018-05-29;2033-05-10;8.2%;AA-;Зеленый;https://bonds.finam.ru/issue/details019BA/default.asp
КАМАЗ-БО-09;RU000A0ZZ885;2018-05-29;2033-05-10;8.2%;AA-;Зеленый;https://bonds.finam.ru/issue/details019B9/default.asp
АЛЬФА-БАНК-T2-CR-03;RU000A10BFQ1;2025-04-25;2032-04-18;23.0%;A+;Желтый;https://bonds.finam.ru/issue/details040B8/default.asp
Селигдар-001Р-03;RU000A10B933;2025-04-08;2027-09-25;23.25%;A+;Желтый;https://bonds.finam.ru/issue/details0402F/default.asp
Р-Вижн-001P-02;RU000A10B7W1;2025-04-03;2028-03-18;24.5%;A+;Желтый;https://bonds.finam.ru/issue/details04041/default.asp
